doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url
Шон Бибарс Калдыбайулы,Психолог,Алматы,Абсолют - Центр психологической помощи,5,15,13,30000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227386-shon-bibars-kaldybayuly
Шон Бибарс Калдыбайулы,Психолог,Алматы,Абсолют - Центр психологической помощи,5,15,13,30000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227386-shon-bibars-kaldybayuly#review
Бурданова Татьяна Владимировна,Офтальмолог (окулист),Алматы,Aman Pediatric - Детский медицинский центр,5,2,,17000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227400-burdanova-tatyana-vladimirovna
Бурданова Татьяна Владимировна,Офтальмолог (окулист),Алматы,Aman Pediatric - Детский медицинский центр,5,2,,17000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227400-burdanova-tatyana-vladimirovna#review
Стуковина Виктория Юрьевна,Онкомаммолог,Алматы,MamaVita - Центр женского здоровья на Навои,5,1,8,12000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227498-stukovina-viktoriya-yurevna
Стуковина Виктория Юрьевна,Онкомаммолог,Алматы,MamaVita - Центр женского здоровья на Навои,5,1,8,12000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227498-stukovina-viktoriya-yurevna#review
Касенова Айгуль Болатбековна,Офтальмолог (окулист),Алматы,Visiomed - Офтальмологическая клиника на Каримова,5,12,13,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227818-kasenova-aygul-bolatbekovna
Касенова Айгуль Болатбековна,Офтальмолог (окулист),Алматы,Visiomed - Офтальмологическая клиника на Каримова,5,12,13,15000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1227818-kasenova-aygul-bolatbekovna#review
Умбет Сымбат Алпысбайкызы,Маммолог,Алматы,,5,6,6,7000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228062-umbet-symbat-alpysbaykyzy
Умбет Сымбат Алпысбайкызы,Маммолог,Алматы,,5,6,6,7000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228062-umbet-symbat-alpysbaykyzy#review
Асанова Зара Набиевна,Узист,Алматы,Центр Эндокринной Гинекологии,,,,30000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228369-asanova-zara-nabievna
Асанова Зара Набиевна,Узист,Алматы,Центр Эндокринной Гинекологии,,,,30000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228369-asanova-zara-nabievna#review
Нуржанов Асылжан Нуржанович,Реабилитолог,Алматы,Центр вертебралогии и ортопедии доктора Ратинова- Медицинский центр,,,7,7000,,idoctor.kz,https://idoctor.kz/almaty/doctor/1228413-nurzhanov-asylzhan-nurzhanovich
