doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url
Бектеміров Бекжан Бекмырзаұлы,Анестезиолог,,,,,6,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bektemirov-bekzan-bekmyrzauly/anesteziolog
Битемирова Жазира Алкаровна,Эндокринолог,,,,,12,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bektemirova-zazira-alkarovna/endokrinolog
Берикбаева Улбала Тасболатовна,Дерматокосметология,,,,,11,3800,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/berikbaeva-ulbala-tasbolatovna/dermatokosmetologiya
Бисенбина Гульжахан Жолмырзаевна,Дерматовенеролог,,,,,30,10200,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bisenbina-gulzaxan-zolmyrzaevna/dermatovenerolog
Бондаренко Нина Петровна,Бондаренко Нина Петровна,,,,,13,11300,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bondarenko-nina-petrovna
Бондаренко Нина Петровна,Анестезиолог,,,,,13,11300,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bondarenko-nina-petrovna/anesteziolog
Бондаренко Нина Петровна,Анестезиолог реаниматолог детский,,,,,13,11300,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bondarenko-nina-petrovna/anesteziolog-reanimatolog-detskii
Бондаренко Татьяна Ивановна,Бондаренко Татьяна Ивановна,,,,,8,5700,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bondarenko-tatyana-ivanovna
Букаев Айваз Ирекович,Букаев Айваз Ирекович,,,,,10,6200,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bukaev-aivaz-irekovic
Букаев Айваз Ирекович,Эпилептолог,,,,,10,6200,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bukaev-aivaz-irekovic/epileptolog
Буликбаева Джулдызай Мухамбетгалыевна,Буликбаева Джулдызай Мухамбетгалыевна,,,,,19,19000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bulikbaeva-dzuldyzai-muxambetgalyevna
Буликбаева Джулдызай Мухамбетгалыевна,Anti-age,,,,,19,19000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/bulikbaeva-dzuldyzai-muxambetgalyevna/anti-age
Цигельман Татьяна Александровна,Цигельман Татьяна Александровна,,,,,,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/cigelman-tatyana-aleksandrovna
Цигельман Татьяна Александровна,Диабетолог,,,,,,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/cigelman-tatyana-aleksandrovna/diabetolog
Цигельман Татьяна Александровна,Эндокринолог,,,,,,6400,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/cigelman-tatyana-aleksandrovna/endokrinolog
Даиров Еркен Кадырханович,Дерматолог,,,,,5,10000,Онлайн,ok.i-teka.kz,https://ok.i-teka.kz/doctor/dairov-erken-kadyrxanovic/dermatolog
