doctor_name,specialization,experience_years,clinic,city,rating,reviews_count,profile_url
Сидеханова Айбике Оралбаевна,Стоматолог • Терапевт,,"Стоматологическая клиника НАО ""Казахский национальный медицинский университет имени С.Д. Асфендиярова""",Алматы,0,0,https://doctor.kz/doctors/187086931530597468
Липириди Мария Евгеньевна,Дерматолог • Уролог,,"Медицинский центр ""OPEN CLINIC""",Атырау,0,0,https://doctor.kz/doctors/685960721671444284
Баймаханова Гулмира,Ревматолог,,"Медицинский центр ""DAUMED""",Шымкент,0,0,https://doctor.kz/doctors/25656551698828469
Кузембаева Карлыгаш Уразалиевна,Терапевт,,"Медицинский центр ""OPEN CLINIC""",Атырау,0,0,https://doctor.kz/doctors/831537731671448728
Тен Аркадий Семёнович,Хирург,,"Медицинский центр ""АРУ""",Алматы,0,0,https://doctor.kz/doctors/965776091712057647
Строганов Эмиль Яковлевич,Гастроэнтеролог • Дерматовенеролог • Дерматолог,,"Медицинский центр ""АРУ""",Алматы,0,0,https://doctor.kz/doctors/30464541530523371
Жылкибаева Бахыт Омарбековна,Кардиолог,,"Медицинский центр ""SMART HEALTH UNIVERSITY CITY""",Алматы,0,0,https://doctor.kz/doctors/522562161574914164
Идрисова Гульден Кайруллаевна,Офтальмолог/ Окулист,,Международный центр охраны зрения,Алматы,0,0,https://doctor.kz/doctors/723475881631862357
Абдрахманова Жаннат Булатовна,Врач УЗИ,,"Диагностическая клиника ""HEALTH CITY""",Алматы,0,0,https://doctor.kz/doctors/787878541501565031
Черная Жанна Валерьевна,Врач функциональной диагностики • Невропатолог детский • Невропатолог/ Невролог,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/459643751701263184
Таранюк Лилия,Терапевт,,Врачебно-физкультурный диспансер,Караганда,0,0,https://doctor.kz/doctors/475213901691661603
Шонтыбаев Равиль Сембаевич,Врач УЗИ • Кардиолог,,"Медицинский центр ""KAZMED CLINIC"" в мкр.Аксай 5",Алматы,5,1,https://doctor.kz/doctors/687904181481261021
Жигалин Артем Сергеевич,Офтальмолог/ Окулист,,"ТОО ""Лазерный центр Коновалова""",Алматы,0,0,https://doctor.kz/doctors/199122001605699195
Салгараева Гульжан Рысбековна,Педиатр,,"Медицинский центр ""ИНТЕРМЕДИКАЛ""",Талгар,0,0,https://doctor.kz/doctors/326942051720597442
Малагаждарова Анар Жоламановна,Акушер-гинеколог • Гинеколог • Репродуктолог,,"Центр по лечению бесплодия ""НУРАЙ""",Алматы,0,0,https://doctor.kz/doctors/428784071503292461
Артыкбаев Жаксылык Жакыпбекович,Анестезиолог-реаниматолог,,"Медицинский центр ""DAUMED""",Шымкент,0,0,https://doctor.kz/doctors/439670561698826437
Демесинова Баян Косболовна,Невропатолог/ Невролог,,Городская клиническая больница №1,Алматы,0,0,https://doctor.kz/doctors/833953781698653327
Тё Венец Валерьевич,ЛОР/ Оториноларинголог • Педиатр,,"Медицинский центр ""МЕДИ-СЕРВИС""",Алматы,5,2,https://doctor.kz/doctors/189771061565236624
Нарманова Акбота Муратбаевна,Терапевт,,"Медицинский центр ""МЕДИ-СЕРВИС""",Алматы,0,0,https://doctor.kz/doctors/77809891632229224
Измаилова Гульмира Ельтаевна,Терапевт,,"Медицинский центр ""МЕДИ-СЕРВИС""",Алматы,0,0,https://doctor.kz/doctors/280813541548152486
Мусатаева Анар Аскаровна,Педиатр,,"Медицинский центр ""МЕДИ-СЕРВИС""",Алматы,0,0,https://doctor.kz/doctors/20265561548154518
Ольшевский Игорь Евгеньевич,Офтальмолог/ Окулист,,"Медицинский центр ""МЕДИ-СЕРВИС""",Алматы,0,0,https://doctor.kz/doctors/837246021548156519
Хасенова Гульнара Семейгалиевна,Массажист,,"Медицинский центр ""МЕДИ-СЕРВИС""",Алматы,0,0,https://doctor.kz/doctors/866213631694067078
Кар Тахмина Ясыровна,Акушер-гинеколог • Гинеколог,,"Медицинский центр ""МЕДИ-СЕРВИС""",Алматы,0,0,https://doctor.kz/doctors/191682521701865477
Караяниди Наталья Владимировна,Врач УЗИ,,"Медицинский центр ""КРИАЛ-МЕД""",Алматы,0,0,https://doctor.kz/doctors/259589241695290204
Бектаева Рабига Козейбайкызы,Генетик,,"TOO ""Alta life""",Алматы,0,0,https://doctor.kz/doctors/776404531738751573
Сабирова Шолпан Мухамбетгалиевна,Офтальмолог/ Окулист,,"ТОО ""Лазерный центр Коновалова""",Алматы,0,0,https://doctor.kz/doctors/207963201695373913
Хупения Лали Джемаловна,Гастроэнтеролог,,"Медицинский центр ""GASTROCLINIC"" (ТОО ""ZhanMed (Жанмед)"")",Алматы,0,0,https://doctor.kz/doctors/405058111515490343
Сулименко Татьяна Витальевна,Гастроэнтеролог • Пульмонолог • Терапевт,,"Медицинский центр ""КЕРУЕН MEDICUS""",Алматы,0,0,https://doctor.kz/doctors/744677241695210912
Хужаниязов Султан Бобомуратович,Нейрохирург,,"Медицинский центр ""DAUMED""",Шымкент,5,0,https://doctor.kz/doctors/704114561482301163
Джанысбаева Насихат Сарсембековна — педиатр-невролог,Невропатолог детский • Педиатр,,"Медицинский центр ""АРУ""",Алматы,0,0,https://doctor.kz/doctors/586123151712060329
Елубаев Ернар Мухитович,ЛОР/ Оториноларинголог,,"ЛОР центр ""Сезiм"" на Богенбай батыра",Астана,0,0,https://doctor.kz/doctors/189199921481259063
Жумагазина Сауле Суанкуловна,Невропатолог/ Невролог,,"Медицинский центр ""МЕЙІРІМ""",Тараз,0,0,https://doctor.kz/doctors/83742461484205825
Абуова Данара Карсибековна,Кардиолог,,"Медицинский центр ""CARDIOS"" на Казыбек би",Алматы,0,0,https://doctor.kz/doctors/616138531665569742
Нам Людмила Петровна,Семейный врач,,"Медицинский центр ""IMC"" на Муканова",Алматы,5,1,https://doctor.kz/doctors/843638601452575976
Салимбаева Асель Жанабаевна,Врач УЗИ,,"Медицинский центр ""DAUMED""",Шымкент,0,0,https://doctor.kz/doctors/852013771698824758
Рой Полина Викторовна,Врач УЗИ,,"ТОО ""Центр молекулярной медицины""",Алматы,0,0,https://doctor.kz/doctors/39525911695984330
Лукьянова Наталья Викторовна,Акушер-гинеколог • Гинеколог,,"Медицинский центр ""PROFMEDSERVICE""",Шымкент,0,0,https://doctor.kz/doctors/663294081754475730
Аширов Болат Анварович,Пульмонолог • Терапевт,,"Медицинский центр ""DAUMED""",Шымкент,4,0,https://doctor.kz/doctors/384175721481694495
Ли Елена Авдолиевна,Маммолог • Терапевт,,"Медицинский центр ""DIVERA"" на Байтерекова",Шымкент,0,1,https://doctor.kz/doctors/554082261625111681
Бурлакова Зухра Караевна,Лаборант,,"Медицинский центр ""PROFMEDSERVICE""",Шымкент,0,0,https://doctor.kz/doctors/324081491625125020
Байтимирова Галина Анатольевна,Массажист,,"Медицинский центр ""PROFMEDSERVICE""",Шымкент,0,0,https://doctor.kz/doctors/550235161625305344
Азимова Дильбар Абдулхамитовна,Акушер-гинеколог • Гинеколог,,"Медицинский центр ""PROFMEDSERVICE""",Шымкент,0,0,https://doctor.kz/doctors/289471391544004884
Гончарик Наталия Александровна,Офтальмолог/ Окулист,,"Медицинский центр ""PROFMEDSERVICE""",Астана,0,0,https://doctor.kz/doctors/648321431653477765
Усманов Равшан Мукумович,Вертебролог • Мануальный терапевт • Невропатолог/ Невролог • Нейрохирург,,"Медицинский центр ""PROFMEDSERVICE""",Шымкент,1,1,https://doctor.kz/doctors/156691741569467543
Хамитова Айдана Хамиткызы,Стоматолог • Стоматолог-терапевт,,"ИП Исмагулов Ж ""Стоматологическая клиника ""СМАҒҰЛ ДЕНТ - ЛЕСХОЗ""",Атырау,5,1,https://doctor.kz/doctors/731097101633946466
Утегалиева Гульнара Нурлыбаевна,Акушер-гинеколог • Гинеколог • Гинеколог детский,,"Медицинский центр ""A CLINIC""",Алматы,0,0,https://doctor.kz/doctors/65512351486538795
Касимова Дина Пашаевна,Невропатолог/ Невролог,,"ТОО ""Неврология, эпилептология и реабилитация""",Алматы,0,0,https://doctor.kz/doctors/554865681692773479
Зейнилов Мурабек,Травматолог,,Врачебно-физкультурный диспансер,Караганда,0,0,https://doctor.kz/doctors/204997671691662377
Калтаев Галым,Хирург,,Врачебно-физкультурный диспансер,Караганда,0,0,https://doctor.kz/doctors/686720181691661214
Колосова Ирина Яновна,Педиатр,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/898879731701267191
Саурыкова Бахытгуль Докторбековна,Невропатолог/ Невролог,,"Медицинский центр ""МЕЙІРІМ""",Тараз,0,0,https://doctor.kz/doctors/57169841484214544
Калибекова Галия Ериковна,Акушер-гинеколог • Гинеколог,,"Медицинский центр ""A CLINIC""",Алматы,1,1,https://doctor.kz/doctors/228561171481252685
Куанышева Жанна Мукановна,Ревматолог,,"Медицинский центр ""OPEN CLINIC""",Атырау,0,0,https://doctor.kz/doctors/958819611671447319
Муртазалиева Александра Владимировна,Генетик,,"ТОО ""Центр молекулярной медицины""",Алматы,0,0,https://doctor.kz/doctors/763073481695984187
Кыздарбаева Люция Избасаровна,Гинеколог,,"ТОО ""Центр молекулярной медицины""",Алматы,0,0,https://doctor.kz/doctors/434303541481194318
Акишева Юлдуз Нурдаулетовна,Акушер-гинеколог • Гинеколог,,"ТОО ""Центр молекулярной медицины""",Алматы,5,1,https://doctor.kz/doctors/623554451490337142
Искакова Индира Магадалиевна,Дерматовенеролог • Дерматолог,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/280185301701267744
Хен Татьяна Михайловна,ЛОР/ Оториноларинголог,,"Клиника ""ДОСТАР МЕД А"" в мкр Айнабулак 2, 71 Д",Алматы,0,0,https://doctor.kz/doctors/726060041693908959
