doctor_name,specialization,city,clinic,rating,reviews_count,experience_years,price,consultation_format,source,profile_url,price_segment
Төкен Ақбаян Насрединқызы,Пульмонолог,Алматы,Городская клиническая больница №1,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/531588231698218648,unknown
Петина Татьяна Владимировна,"Офтальмолог, Окулист",Алматы,"ТОО ""Лазерный центр Коновалова""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/43726181605698630,unknown
Мухитдинова Камила Анваровна,Ревматолог,Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/869982301701333267,unknown
Абдрахманов Анвар Женисович,Врач УЗИ,Алматы,"Филиал товарищества с ограниченной ответственностью ""OPEN CLINIC"" в г. Алматы",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/302480431671439531,unknown
Мамаев Якуб Хасымович,Гинеколог,Шымкент,"Медицинский центр ""DAUMED""",0.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/420603641698913400,unknown
Ильясов Нуржан Нуржаубекулы,Андролог • Уролог,Алматы,"Урологический центр ""ATLAS Clinic""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/588396411658910733,unknown
Құсаинов Таир,"ЛОР, Оториноларинголог",Алматы,"ЛОР-центр ""АЙ-МЕДИКУС"" в Мамыре",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/553235331693457722,unknown
Сидеханова Айбике Оралбаевна,Стоматолог • Терапевт,Алматы,"Стоматологическая клиника НАО ""Казахский национальный медицинский университет имени С.Д. Асфендиярова""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/187086931530597468,unknown
Липириди Мария Евгеньевна,Дерматолог • Уролог,Атырау,"Медицинский центр ""OPEN CLINIC""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/685960721671444284,unknown
Баймаханова Гулмира,Ревматолог,Шымкент,"Медицинский центр ""DAUMED""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/25656551698828469,unknown
Кузембаева Карлыгаш Уразалиевна,Терапевт,Атырау,"Медицинский центр ""OPEN CLINIC""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/831537731671448728,unknown
Тен Аркадий Семёнович,Хирург,Алматы,"Медицинский центр ""АРУ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/965776091712057647,unknown
Строганов Эмиль Яковлевич,Гастроэнтеролог • Дерматовенеролог • Дерматолог,Алматы,"Медицинский центр ""АРУ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/30464541530523371,unknown
Жылкибаева Бахыт Омарбековна,Кардиолог,Алматы,"Медицинский центр ""SMART HEALTH UNIVERSITY CITY""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/522562161574914164,unknown
Идрисова Гульден Кайруллаевна,"Офтальмолог, Окулист",Алматы,Международный центр охраны зрения,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/723475881631862357,unknown
Абдрахманова Жаннат Булатовна,Врач УЗИ,Алматы,"Диагностическая клиника ""HEALTH CITY""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/787878541501565031,unknown
Черная Жанна Валерьевна,"Врач функциональной диагностики • Невропатолог детский • Невропатолог, Невролог",Шымкент,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/459643751701263184,unknown
Таранюк Лилия,Терапевт,Караганда,Врачебно-физкультурный диспансер,0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/475213901691661603,unknown
Шонтыбаев Равиль Сембаевич,Врач УЗИ • Кардиолог,Алматы,"Медицинский центр ""KAZMED CLINIC"" в мкр.Аксай 5",5.0,1.0,,,,doctor.kz,https://doctor.kz/doctors/687904181481261021,unknown
Жигалин Артем Сергеевич,"Офтальмолог, Окулист",Алматы,"ТОО ""Лазерный центр Коновалова""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/199122001605699195,unknown
Салгараева Гульжан Рысбековна,Педиатр,Талгар,"Медицинский центр ""ИНТЕРМЕДИКАЛ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/326942051720597442,unknown
Малагаждарова Анар Жоламановна,Акушер-гинеколог • Гинеколог • Репродуктолог,Алматы,"Центр по лечению бесплодия ""НУРАЙ""",0.0,0.0,,,,doctor.kz,https://doctor.kz/doctors/428784071503292461,unknown
